id,Quarter ending,State,Unit,Value
164,2008 Q2,Victoria,$ per megawatt hour,47
165,2008 Q3,New South Wales,$ per megawatt hour,41
166,2008 Q3,Queensland,$ per megawatt hour,36
167,2008 Q3,South Australia,$ per megawatt hour,42
168,2008 Q3,Tasmania,$ per megawatt hour,44
169,2008 Q3,Victoria,$ per megawatt hour,42
170,2008 Q4,New South Wales,$ per megawatt hour,51
171,2008 Q4,Queensland,$ per megawatt hour,39
172,2008 Q4,South Australia,$ per megawatt hour,32
173,2008 Q4,Tasmania,$ per megawatt hour,44
174,2008 Q4,Victoria,$ per megawatt hour,34
175,2009 Q1,New South Wales,$ per megawatt hour,43
176,2009 Q1,Queensland,$ per megawatt hour,37
177,2009 Q1,South Australia,$ per megawatt hour,161
178,2009 Q1,Tasmania,$ per megawatt hour,55
179,2009 Q1,Victoria,$ per megawatt hour,87
180,2009 Q2,New South Wales,$ per megawatt hour,35
181,2009 Q2,Queensland,$ per megawatt hour,32
182,2009 Q2,South Australia,$ per megawatt hour,35
183,2009 Q2,Tasmania,$ per megawatt hour,106
184,2009 Q2,Victoria,$ per megawatt hour,34
185,2009 Q3,New South Wales,$ per megawatt hour,28
186,2009 Q3,Queensland,$ per megawatt hour,26
187,2009 Q3,South Australia,$ per megawatt hour,27
188,2009 Q3,Tasmania,$ per megawatt hour,24
189,2009 Q3,Victoria,$ per megawatt hour,25
190,2009 Q4,New South Wales,$ per megawatt hour,100
191,2009 Q4,Queensland,$ per megawatt hour,53
192,2009 Q4,South Australia,$ per megawatt hour,134
193,2009 Q4,Tasmania,$ per megawatt hour,31
194,2009 Q4,Victoria,$ per megawatt hour,29
195,2010 Q1,New South Wales,$ per megawatt hour,52
196,2010 Q1,Queensland,$ per megawatt hour,46
197,2010 Q1,South Australia,$ per megawatt hour,134
198,2010 Q1,Tasmania,$ per megawatt hour,27
199,2010 Q1,Victoria,$ per megawatt hour,67
200,2010 Q2,New South Wales,$ per megawatt hour,30
201,2010 Q2,Queensland,$ per megawatt hour,22
202,2010 Q2,South Australia,$ per megawatt hour,34
203,2010 Q2,Tasmania,$ per megawatt hour,40
204,2010 Q2,Victoria,$ per megawatt hour,48
205,2010 Q3,New South Wales,$ per megawatt hour,30
206,2010 Q3,Queensland,$ per megawatt hour,22
207,2010 Q3,South Australia,$ per megawatt hour,29
208,2010 Q3,Tasmania,$ per megawatt hour,41
209,2010 Q3,Victoria,$ per megawatt hour,26
210,2010 Q4,New South Wales,$ per megawatt hour,23
211,2010 Q4,Queensland,$ per megawatt hour,21
212,2010 Q4,South Australia,$ per megawatt hour,23
213,2010 Q4,Tasmania,$ per megawatt hour,21
214,2010 Q4,Victoria,$ per megawatt hour,19
215,2011 Q1,New South Wales,$ per megawatt hour,90
216,2011 Q1,Queensland,$ per megawatt hour,65
217,2011 Q1,South Australia,$ per megawatt hour,83
218,2011 Q1,Tasmania,$ per megawatt hour,27
219,2011 Q1,Victoria,$ per megawatt hour,41
220,2011 Q2,New South Wales,$ per megawatt hour,28
221,2011 Q2,Queensland,$ per megawatt hour,26
222,2011 Q2,South Australia,$ per megawatt hour,32
223,2011 Q2,Tasmania,$ per megawatt hour,32
224,2011 Q2,Victoria,$ per megawatt hour,30
225,2011 Q3,New South Wales,$ per megawatt hour,31
226,2011 Q3,Queensland,$ per megawatt hour,29
227,2011 Q3,South Australia,$ per megawatt hour,37
228,2011 Q3,Tasmania,$ per megawatt hour,30
229,2011 Q3,Victoria,$ per megawatt hour,30
230,2011 Q4,New South Wales,$ per megawatt hour,32
231,2011 Q4,Queensland,$ per megawatt hour,30
232,2011 Q4,South Australia,$ per megawatt hour,33
233,2011 Q4,Tasmania,$ per megawatt hour,30
234,2011 Q4,Victoria,$ per megawatt hour,25
235,2012 Q1,New South Wales,$ per megawatt hour,26
236,2012 Q1,Queensland,$ per megawatt hour,31
237,2012 Q1,South Australia,$ per megawatt hour,28
238,2012 Q1,Tasmania,$ per megawatt hour,37
239,2012 Q1,Victoria,$ per megawatt hour,26
240,2012 Q2,New South Wales,$ per megawatt hour,33
241,2012 Q2,Queensland,$ per megawatt hour,30
242,2012 Q2,South Australia,$ per megawatt hour,30
243,2012 Q2,Tasmania,$ per megawatt hour,35
244,2012 Q2,Victoria,$ per megawatt hour,33
245,2012 Q3,New South Wales,$ per megawatt hour,60
246,2012 Q3,Queensland,$ per megawatt hour,58
247,2012 Q3,South Australia,$ per megawatt hour,69
248,2012 Q3,Tasmania,$ per megawatt hour,50
